ts,dr_pos,dr_vel,dr_acc,sub_pos,force_goal,force_ped,force_obj
10,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
10,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
10,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
10,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
10,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
10,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
10,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
10,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
11,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
12,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
12,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
12,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
12,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
12,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
12,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
12,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
12,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
12,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
12,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
12,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
12,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)",0,0,0
