,ts,dr_pos,dr_vel,dr_acc,sub_pos,force_goal,force_ped,force_obj
0,12,"(3.02361367992731, 9.002535496085326, 0.9782402220497497)","(-0.020679529625752997, 0.0036428385482279533, 0.16562026439779134)","(-0.03720357754066414, 0.015688400325961863, -0.5656553083356053)","(0.0, 0.0, 1.05)",0,0,0
1,13,"(2.6456003819701444, 9.04176569525012, 1.0097305035119675)","(-0.8356246207566771, -0.2340818354802026, 0.19339832416917796)","(-1.5698193071910227, -0.6839340982157938, 0.606906887299058)","(0.0, 0.0, 1.05)",0,0,0
2,14,"(1.6523397881062252, 9.420518779804018, 1.007125611371352)","(-0.46810037913695157, -0.18954533928406458, -0.016717352689979256)","(-0.25728570062605316, 0.8052110615325292, -0.03933003133877594)","(0.0, 0.0, 1.05)",0,0,0
3,15,"(1.7651449134411323, 9.904407916545262, 1.0064843370382535)","(-0.2656512450734308, 0.13074063059078966, -0.005404555098071042)","(0.3365999704196265, -0.6974399318660507, -0.0505631741943369)","(0.0, 0.0, 1.05)",0,0,0
4,16,"(1.7626791407075666, 10.064298232312302, 1.0121515992933783)","(-0.06546301897582531, 0.17282419831569246, -0.0034110888475863254)","(0.058099413014892076, -0.34896320480221066, -0.1331339092671838)","(1.9995916945, 8.984262889, 1.0549999999996043)",0,0,0
5,17,"(1.7854930395638569, 9.935964398608048, 1.0081876941678685)","(0.3802738375283715, -0.0016432433880844144, 0.0023755593644260863)","(0.37005377899657077, -0.0066687591560310455, -0.09524031299320157)","(2.0629461875000006, 7.9579461875, 1.05)",0,0,0
6,18,"(1.855607940097205, 9.28240171857783, 0.9963982486511284)","(1.3867862262365653, -0.42486170034082327, 0.3096808285904744)","(1.7100863956867052, -1.1023269369462296, 0.42580180258172673)","(3.007999999999999, 8.0, 1.05)",0,0,0
7,19,"(2.210936924237842, 8.298442324399298, 1.0015098232606394)","(0.2414545165083232, -0.015072863719804812, 0.023103981148985823)","(0.4657963222890471, 1.0802333254616991, 0.33648308764425844)","(4.059000000000001, 8.0, 1.05)",0,0,0
8,20,"(2.9282243000448687, 8.393187774730807, 1.007233540418602)","(0.5116439184769329, 0.09158120255376688, -0.01954717709510654)","(-0.8336583500379025, -0.21987095904167642, 0.8289997187513505)","(5.0539999999999985, 8.0, 1.05)",0,0,0
9,21,"(4.049635451300538, 8.498330084387906, 0.9989960212743888)","(1.2115821985572148, 0.9833209185034476, -0.16817579624235168)","(-1.7068532696193905, -0.36668216547353083, -0.42488027641965354)","(6.034, 8.0, 1.05)",0,0,0
