ts," -0.0025362912490726336]""","[0.0, 1.05, 0.0]",0.0,0.0.1,0.0.2,0.0.3
"[-0.035846991663039396, 0.1538882017655793, 0.005666863413858353]","[0.0366206057028709, -1.0120160837808478, -0.0025362912490726336]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.035810277894222316, 0.1538882017655793, 0.005666863413858353]","[0.03671376881708016, -1.0474914283923886, -0.0026493965177851533]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.035810277894222316, 0.1538882017655793, 0.005664214017340568]","[0.03671376881708016, -1.0474914283923886, -0.0026493965177851533]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.035810277894222316, 0.1528407103371869, 0.005664214017340568]","[0.03671376881708016, -1.0474914283923886, -0.0026493965177851533]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03577351327128043, 0.1528407103371869, 0.005664214017340568]","[0.036764622941887204, -1.0801785640668082, -0.002745326549999892]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03577351327128043, 0.1528407103371869, 0.005661468690790568]","[0.036764622941887204, -1.0801785640668082, -0.002745326549999892]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03577351327128043, 0.1517605317731201, 0.005661468690790568]","[0.036764622941887204, -1.0801785640668082, -0.002745326549999892]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03573674155076419, 0.1517605317731201, 0.005661468690790568]","[0.036771720516241835, -1.109986477937197, -0.0028239837887994446]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03573674155076419, 0.1517605317731201, 0.005658644707001769]","[0.036771720516241835, -1.109986477937197, -0.0028239837887994446]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03573674155076419, 0.1506505452951829, 0.005658644707001769]","[0.036771720516241835, -1.109986477937197, -0.0028239837887994446]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03512434739265637, 0.1506505452951829, 0.005658644707001769]","[-0.030995357220210684, -1.2060805703022064, 0.007748109423421842]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03512434739265637, 0.1506505452951829, 0.00568580601881316]","[-0.030995357220210684, -1.2060805703022064, 0.007748109423421842]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03512434739265637, 0.09102341577317759, 0.00568580601881316]","[-0.030995357220210684, -1.2060805703022064, 0.007748109423421842]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03515817696329572, 0.09102341577317759, 0.00568580601881316]","[-0.033829570639347384, -1.1899445251486866, 0.008187726518523071]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03515817696329572, 0.09102341577317759, 0.005693993745331683]","[-0.033829570639347384, -1.1899445251486866, 0.008187726518523071]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03515817696329572, 0.0898334712480289, 0.005693993745331683]","[-0.033829570639347384, -1.1899445251486866, 0.008187726518523071]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.035194853694974916, 0.0898334712480289, 0.005693993745331683]","[-0.03667673167919577, -1.1738570940439674, 0.008636135381950676]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.035194853694974916, 0.0898334712480289, 0.005702629880713634]","[-0.03667673167919577, -1.1738570940439674, 0.008636135381950676]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.035194853694974916, 0.08865961415398493, 0.005702629880713634]","[-0.03667673167919577, -1.1738570940439674, 0.008636135381950676]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.035234387628369876, 0.08865961415398493, 0.005702629880713634]","[-0.039533933394959864, -1.158156846407507, 0.009073230623415397]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.035234387628369876, 0.08865961415398493, 0.005711703111337049]","[-0.039533933394959864, -1.158156846407507, 0.009073230623415397]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.035234387628369876, 0.08750145730757743, 0.005711703111337049]","[-0.039533933394959864, -1.158156846407507, 0.009073230623415397]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.035276793791294, 0.08750145730757743, 0.005711703111337049]","[-0.042406162924127355, -1.1417248054847033, 0.009516572852369919]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.035276793791294, 0.08750145730757743, 0.005721219684189419]","[-0.042406162924127355, -1.1417248054847033, 0.009516572852369919]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.035276793791294, 0.08635973250209272, 0.005721219684189419]","[-0.042406162924127355, -1.1417248054847033, 0.009516572852369919]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.035322078435520536, 0.08635973250209272, 0.005721219684189419]","[-0.04528464422653283, -1.1249225550164637, 0.009965342710173408]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.035322078435520536, 0.08635973250209272, 0.0057311850268995925]","[-0.04528464422653283, -1.1249225550164637, 0.009965342710173408]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.035322078435520536, 0.08523480994707626, 0.0057311850268995925]","[-0.04528464422653283, -1.1249225550164637, 0.009965342710173408]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.035370241325790586, 0.08523480994707626, 0.0057311850268995925]","[-0.04816289027004955, -1.1080236363678608, 0.01042044004574954]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
