ts,dr_pos,dr_vel,dr_acc,sub_pos,goal_force,subj_force,ped_force,obj_force
10,"[1.0037054674839547, 0.9742988496115653, 6.022098538234397]","[0.0057530574503868795, 0.18052709515418636, -0.02508770629495377]","[0.00561330812201815, -0.4873887993752102, 0.02429948627490075]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
11,"[1.003783845150991, 0.9767750178185229, 6.021740999264953]","[0.005830336980186312, 0.1739119334776435, -0.024787801470803277]","[0.005524716022227427, -0.458223026785165, 0.018463060041298135]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
12,"[0.739677330588101, 1.0045472906687145, 6.016544183718967]","[-0.9643977272097393, 0.2187806447220603, -0.21737004752131206]","[-1.651982982485034, 0.37868429707149653, -0.9680650624676046]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
13,"[-0.7589370047033672, 1.00076771150435, 6.504343554744541]","[-0.39819259740030144, -0.1582542755000153, -0.3969438821711557]","[2.272272441746215, 0.9773965910717664, 1.3320470968538056]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
14,"[-1.0256066491338902, 1.0025965501516287, 6.933628249761752]","[-0.8717671259748991, -0.10613587147457558, -0.18287287949135972]","[1.6404167886270304, -0.6493560437040302, 0.2861988177607633]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
15,"[-1.1087193639524187, 1.0106733182873537, 7.117136279748625]","[-0.07336835041083635, 0.011207973628466095, -0.021931413768720154]","[-0.20651377462524434, -0.02693791992945671, 0.017283389019500522]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
16,"[-1.120163013527576, 1.0146479078773665, 7.17377455562679]","[-0.028570943833349814, 0.0022277546803461078, -0.008270598178840762]","[0.05338263018390618, -0.023896303034359245, 0.015134932738442887]","[-0.0015950513160000394, 1.0549999999996043, 7.033983722632]",0.0,0.0,0.0,0.0
17,"[-1.0844342696888851, 1.0116721720541884, 7.200012156320102]","[-0.09935649935552363, -0.0056420911975625454, 0.16582105701003097]","[-0.14925820740271933, 0.0580538442959402, -0.36703341437183123]","[-0.07286489823600001, 1.05, 7.643681016472]",0.0,0.0,0.0,0.0
18,"[-0.7873908715673357, 1.0066845067850911, 7.579150679788326]","[-0.661543736658635, 0.20890249949583356, 0.6051564881774891]","[-1.6388892705244684, -0.6029026689971517, 1.3648650259668882]","[0.17033066243199865, 1.05, 8.069269337568]",0.0,0.0,0.0,0.0
19,"[-0.039275787888107344, 1.0068970041848107, 8.311546585385145]","[-0.141051589678391, -0.07528588375949129, 0.3486836470690564]","[1.0590374638573956, 0.45160255376622965, -1.5924691409805458]","[0.8287993184319978, 1.05, 8.010800681568]",0.0,0.0,0.0,0.0
20,"[0.24811488700077514, 1.0060904114777072, 8.014064709159255]","[0.25054292871215966, 0.013910457662165934, 0.6705359951762903]","[-0.5009238603258526, -0.5845846256663407, 0.46019053395529586]","[1.4071999999999985, 1.05, 8.0]",0.0,0.0,0.0,0.0
21,"[0.8947400624000619, 1.0093851943720362, 7.872848688067297]","[-0.004148723104911767, -0.009978318727502336, 0.5603962915514197]","[-0.09318560879106874, 0.04840562283704025, -0.4610649250077481]","[2.0143999999999984, 1.05, 8.0]",0.0,0.0,0.0,0.0
