ts," -0.005281976725335369]""","[0.0, 0.0, 0.0]",0.0,0.0.1,0.0.2,0.0.3
"[0.168356593465089, 0.0077303249471758545, -0.03946156567933874]","[-0.597901905907583, 0.010633991347048198, -0.005281976725335369]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.168356593465089, 0.0077303249471758545, -0.039466871824621656]","[-0.6280159106167027, 0.010596743611794406, -0.005306145282914232]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.168356593465089, 0.007740921690787649, -0.039466871824621656]","[-0.6280159106167027, 0.010596743611794406, -0.005306145282914232]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.1677285775544723, 0.007740921690787649, -0.039466871824621656]","[-0.6280159106167027, 0.010596743611794406, -0.005306145282914232]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.1677285775544723, 0.007740921690787649, -0.03947219231875205]","[-0.6591065329260293, 0.010571263478730171, -0.0053204941303924835]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.1677285775544723, 0.007751492954266379, -0.03947219231875205]","[-0.6591065329260293, 0.010571263478730171, -0.0053204941303924835]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.16706947102154626, 0.007751492954266379, -0.03947219231875205]","[-0.6591065329260293, 0.010571263478730171, -0.0053204941303924835]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.16706947102154626, 0.007751492954266379, -0.039477512824998146]","[-0.6904323073895213, 0.010555427852567377, -0.005320506246096757]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.16706947102154626, 0.007762048382118946, -0.039477512824998146]","[-0.6904323073895213, 0.010555427852567377, -0.005320506246096757]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.16637903871415674, 0.007762048382118946, -0.039477512824998146]","[-0.6904323073895213, 0.010555427852567377, -0.005320506246096757]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.16637903871415674, 0.007762048382118946, -0.03986821455795183]","[-1.3157735813355969, 0.00677246990015562, -0.021160568583103445]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.16637903871415674, 0.008182828209257028, -0.03986821455795183]","[-1.3157735813355969, 0.00677246990015562, -0.021160568583103445]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.11276577024552795, 0.008182828209257028, -0.03986821455795183]","[-1.3157735813355969, 0.00677246990015562, -0.021160568583103445]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.11276577024552795, 0.008182828209257028, -0.039890397293069826]","[-1.3041617350963708, 0.006564664453779026, -0.022182735117996788]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.11276577024552795, 0.008189392873710807, -0.039890397293069826]","[-1.3041617350963708, 0.006564664453779026, -0.022182735117996788]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.11146160851043158, 0.008189392873710807, -0.039890397293069826]","[-1.3041617350963708, 0.006564664453779026, -0.022182735117996788]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.11146160851043158, 0.008189392873710807, -0.03991361597312189]","[-1.2913425175573312, 0.0063543666511903935, -0.023218680052061735]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.11146160851043158, 0.008195747240361997, -0.03991361597312189]","[-1.2913425175573312, 0.0063543666511903935, -0.023218680052061735]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.11017026599287424, 0.008195747240361997, -0.03991361597312189]","[-1.2913425175573312, 0.0063543666511903935, -0.023218680052061735]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.11017026599287424, 0.008195747240361997, -0.03993788493753556]","[-1.2777454438100688, 0.00613927344938342, -0.02426896441367482]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.11017026599287424, 0.00820188651381138, -0.03993788493753556]","[-1.2777454438100688, 0.00613927344938342, -0.02426896441367482]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.10889252054906418, 0.00820188651381138, -0.03993788493753556]","[-1.2777454438100688, 0.00613927344938342, -0.02426896441367482]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.10889252054906418, 0.00820188651381138, -0.03996321291939948]","[-1.2636326849377044, 0.005920855120238044, -0.02532798186391516]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.10889252054906418, 0.008207807368931619, -0.03996321291939948]","[-1.2636326849377044, 0.005920855120238044, -0.02532798186391516]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.10762888786412647, 0.008207807368931619, -0.03996321291939948]","[-1.2636326849377044, 0.005920855120238044, -0.02532798186391516]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.10762888786412647, 0.008207807368931619, -0.03998960633050729]","[-1.249326128983902, 0.0056975645162521404, -0.026393411107814013]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.10762888786412647, 0.008213504933447871, -0.03998960633050729]","[-1.249326128983902, 0.0056975645162521404, -0.026393411107814013]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.10637956173514257, 0.008213504933447871, -0.03998960633050729]","[-1.249326128983902, 0.0056975645162521404, -0.026393411107814013]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.10637956173514257, 0.008213504933447871, -0.04001706432629839]","[-1.2351067747557314, 0.005469500844783315, -0.02745799579109698]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.10637956173514257, 0.008218974434292654, -0.04001706432629839]","[-1.2351067747557314, 0.005469500844783315, -0.02745799579109698]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.10514445496038684, 0.008218974434292654, -0.04001706432629839]","[-1.2351067747557314, 0.005469500844783315, -0.02745799579109698]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.10514445496038684, 0.008218974434292654, -0.040045588274651704]","[-1.2200089232881073, 0.005238530184718468, -0.028523948353315065]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.10514445496038684, 0.008224212964477373, -0.040045588274651704]","[-1.2200089232881073, 0.005238530184718468, -0.028523948353315065]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.10392444603709873, 0.008224212964477373, -0.040045588274651704]","[-1.2200089232881073, 0.005238530184718468, -0.028523948353315065]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.10392444603709873, 0.008224212964477373, -0.04007517669275631]","[-1.2043708227365417, 0.005004839354423932, -0.029588418104603553]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.10392444603709873, 0.008229217803831797, -0.04007517669275631]","[-1.2043708227365417, 0.005004839354423932, -0.029588418104603553]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.10272007521436219, 0.008229217803831797, -0.04007517669275631]","[-1.2043708227365417, 0.005004839354423932, -0.029588418104603553]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.10272007521436219, 0.008229217803831797, -0.04010582336767462]","[-1.1885416173637586, 0.004766387662244118, -0.030646674918310968]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.10272007521436219, 0.00823398419149404, -0.04010582336767462]","[-1.1885416173637586, 0.004766387662244118, -0.030646674918310968]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.10153153359699843, 0.00823398419149404, -0.04010582336767462]","[-1.1885416173637586, 0.004766387662244118, -0.030646674918310968]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.10153153359699843, 0.00823398419149404, -0.04013751559982557]","[-1.1727101716099557, 0.004525324672691525, -0.03169223215095107]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.10153153359699843, 0.008238509516166732, -0.04013751559982557]","[-1.1727101716099557, 0.004525324672691525, -0.03169223215095107]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.10035882342538847, 0.008238509516166732, -0.04013751559982557]","[-1.1727101716099557, 0.004525324672691525, -0.03169223215095107]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.10035882342538847, 0.008238509516166732, -0.04017024268223435]","[-1.1572434224867978, 0.004289675285087599, -0.032727082408777475]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.10035882342538847, 0.00824279919145182, -0.04017024268223435]","[-1.1572434224867978, 0.004289675285087599, -0.032727082408777475]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.09920158000290168, 0.00824279919145182, -0.04017024268223435]","[-1.1572434224867978, 0.004289675285087599, -0.032727082408777475]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.09920158000290168, 0.00824279919145182, -0.0402039916825572]","[-1.1411303720382375, 0.004050105685864808, -0.03374900032285244]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.09920158000290168, 0.008246849297137685, -0.0402039916825572]","[-1.1411303720382375, 0.004050105685864808, -0.03374900032285244]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.09806044963086344, 0.008246849297137685, -0.0402039916825572]","[-1.1411303720382375, 0.004050105685864808, -0.03374900032285244]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.09806044963086344, 0.008246849297137685, -0.04023874566688554]","[-1.1247189496740584, 0.0038056877255665533, -0.03475398432833954]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.09806044963086344, 0.008250654984863251, -0.04023874566688554]","[-1.1247189496740584, 0.0038056877255665533, -0.03475398432833954]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.09693573068118938, 0.008250654984863251, -0.04023874566688554]","[-1.1247189496740584, 0.0038056877255665533, -0.03475398432833954]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.09693573068118938, 0.008250654984863251, -0.04027448475684112]","[-1.108306375991283, 0.0035560392611082986, -0.03573908995557762]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.09693573068118938, 0.00825421102412436, -0.04027448475684112]","[-1.108306375991283, 0.0035560392611082986, -0.03573908995557762]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.0958274243051981, 0.00825421102412436, -0.04027448475684112]","[-1.108306375991283, 0.0035560392611082986, -0.03573908995557762]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.0958274243051981, 0.00825421102412436, -0.04031118512038834]","[-1.092106236020976, 0.003302214376369253, -0.03670036354722073]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.0958274243051981, 0.008257513238500729, -0.04031118512038834]","[-1.092106236020976, 0.003302214376369253, -0.03670036354722073]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.09473531806917712, 0.008257513238500729, -0.04031118512038834]","[-1.092106236020976, 0.003302214376369253, -0.03670036354722073]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.09473531806917712, 0.008257513238500729, -0.040348819345358077]","[-1.076415451490828, 0.0030739880557354576, -0.03763422496973895]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.09473531806917712, 0.008260587226556464, -0.040348819345358077]","[-1.076415451490828, 0.0030739880557354576, -0.03763422496973895]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.0936589026176863, 0.008260587226556464, -0.040348819345358077]","[-1.076415451490828, 0.0030739880557354576, -0.03763422496973895]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.0936589026176863, 0.008260587226556464, -0.04038735951502331]","[-1.0602680585383022, 0.002838323800968476, -0.03854016966523682]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.0936589026176863, 0.008263425550357433, -0.04038735951502331]","[-1.0602680585383022, 0.002838323800968476, -0.03854016966523682]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.09259863455914799, 0.008263425550357433, -0.04038735951502331]","[-1.0602680585383022, 0.002838323800968476, -0.03854016966523682]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.09259863455914799, 0.008263425550357433, -0.040426775012989975]","[-1.0439761403267938, 0.002595120772346318, -0.03941549796666194]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.09259863455914799, 0.00826602067112978, -0.040426775012989975]","[-1.0439761403267938, 0.002595120772346318, -0.03941549796666194]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.0915546584188212, 0.00826602067112978, -0.040426775012989975]","[-1.0439761403267938, 0.002595120772346318, -0.03941549796666194]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
