ts,dr_pos,dr_vel,dr_acc,sub_pos,goal_force,subj_force,ped_force,obj_force
10,"[9.02157235566909, 0.9806805929051303, 11.005364513186338]","[-0.027063036071694628, 0.1617878306358, 0.006399056253496927]","[-0.018751258134389742, -0.875942792272516, 0.015161612248449502]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
11,"[9.016037607693445, 0.9941727791042697, 11.006717601230505]","[-0.035534837073431656, 0.036210812395246726, 0.009920774773143244]","[-0.010607780002398759, -0.15551048765465036, 0.021829924405407375]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
12,"[8.982610624051011, 1.0102858498163028, 11.014487768002288]","[-0.009944758144841576, 0.007667169319483852, -0.0014673054946325451]","[0.046497731508178194, 0.0010568377927467829, -0.01587755998753949]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
13,"[8.976094669471376, 1.013011621869161, 11.01344044155676]","[-0.006890610221385733, 0.002639222024910282, -0.0009707890144692527]","[-0.022929931559943426, 0.004765000921488471, 0.013266103435159042]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
14,"[8.972028238574381, 1.0159283852610153, 11.01487679453347]","[0.00948269778526028, 0.0008544316419370577, 0.0006842468217501332]","[-0.02327472165360861, -0.015078823563105049, 0.01511123319066518]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
15,"[8.967263891005599, 1.0147576420713136, 11.021287799083371]","[-0.017691939464433884, -0.003391797482477375, 0.008279229954604115]","[-0.024650353439913814, -0.002948382506817466, -0.0013945569551296333]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
16,"[8.955316997681974, 1.011753931788649, 11.02352539326831]","[-0.007798978263899491, -0.0025570189530257866, -0.000834692701380124]","[0.026594472481066434, 0.01507335410081724, -0.006167986699275735]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
17,"[8.95955075725031, 1.0095365998327885, 11.019590883227053]","[0.005429027262953467, 0.003855852737355247, -0.00297580262250645]","[0.0061099183568443655, -0.011813331558333147, 0.011314287920771975]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
18,"[8.96032319337428, 1.0103960331585644, 11.019942542859212]","[-0.003909912854218788, -0.00023415198826763438, 0.0011163595882864408]","[0.008983155067597386, 0.03063091004687165, -0.00022347145094679145]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
19,"[8.960897499421277, 1.0120640011024917, 11.022337615339127]","[0.0010828363644392561, 0.000890123224288685, 0.00426875601768811]","[0.017273856290678062, -0.0051548846767553, -0.009429506401921733]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
20,"[8.967013832983675, 1.012942451611846, 11.024887172278007]","[0.006594224364716423, 0.0018415317286363986, 0.0030934237290332076]","[-0.009277026063400813, -0.021008506879162978, 0.0033905036132468418]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
21,"[8.965465680424925, 1.0119397094055438, 11.030039018453175]","[-0.009952707463362851, -0.00032092307190208376, 0.004552038882928455]","[-0.014089223641705964, -0.0025193090495602834, -0.008733207409071173]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
22,"[8.952280304129928, 1.0126075773500625, 11.032711002945891]","[-0.014451874328521725, 0.002254910453353473, 0.003959542410071416]","[0.039423824722948156, 0.03179458460387434, -0.012983892105671718]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
23,"[8.952813490679846, 1.0120894896111623, 11.030641202625953]","[0.0165610361435937, -0.00022457904723100977, -0.00751711387840448]","[0.003632641139429682, -0.01890923863204387, -0.001661459762910926]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
24,"[8.970416754879805, 1.0124075927520777, 11.026663102456776]","[0.00945733136865041, -7.664241180874938e-05, 0.0011674462453501147]","[-0.030475825838219284, 0.007816975534129817, 0.005529342898358356]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
25,"[8.974028341545552, 1.011301134953095, 11.028101239762675]","[-0.0029415651138961166, -0.0025150967644500455, 0.0030668588780291984]","[0.011682774670406654, -0.017052632152123222, -0.005030244924469646]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
26,"[8.977235746838451, 1.0101674745642106, 11.029321409447052]","[0.008705408954747472, 0.0006012658413626726, -0.00023164654022486006]","[-0.00277236402844612, 0.029030551796489345, 0.002170796984110151]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
