ts," 0.013057258965488289]""","[0.0, 0.0, 0.0]",0.0,0.0.1,0.0.2,0.0.3
"[0.15003052336342984, -0.025718340466980474, 0.0015135857789648338]","[-1.1957786772560375, -0.021960017068011622, 0.013057258965488289]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.15003052336342984, -0.025740687141438318, 0.0015135857789648338]","[-1.21624360131245, -0.02234667445784322, 0.013168980057646834]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.15003052336342984, -0.025740687141438318, 0.0015267547590224807]","[-1.21624360131245, -0.02234667445784322, 0.013168980057646834]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.1488142797621174, -0.025740687141438318, 0.0015267547590224807]","[-1.21624360131245, -0.02234667445784322, 0.013168980057646834]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.1488142797621174, -0.025763433230338192, 0.0015267547590224807]","[-1.2357900686731094, -0.022746088899874145, 0.01327248144275951]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.1488142797621174, -0.025763433230338192, 0.0015400272404652402]","[-1.2357900686731094, -0.022746088899874145, 0.01327248144275951]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.14757848969344428, -0.025763433230338192, 0.0015400272404652402]","[-1.2357900686731094, -0.022746088899874145, 0.01327248144275951]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.14757848969344428, -0.025786596255293066, 0.0015400272404652402]","[-1.2542276960743892, -0.023163024954874628, 0.01336989366894901]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.14757848969344428, -0.025786596255293066, 0.0015533971341341892]","[-1.2542276960743892, -0.023163024954874628, 0.01336989366894901]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.1463242619973699, -0.025786596255293066, 0.0015533971341341892]","[-1.2542276960743892, -0.023163024954874628, 0.01336989366894901]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.1463242619973699, -0.025810196677369848, 0.0015533971341341892]","[-1.271455105334579, -0.02360042207678187, 0.013461404866655811]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.1463242619973699, -0.025810196677369848, 0.001566858539000845]","[-1.271455105334579, -0.02360042207678187, 0.013461404866655811]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.1450528068920353, -0.025810196677369848, 0.001566858539000845]","[-1.271455105334579, -0.02360042207678187, 0.013461404866655811]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.1450528068920353, -0.02583425152619064, 0.001566858539000845]","[-1.2873863568014232, -0.02405484882079048, 0.013547924713651176]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.1450528068920353, -0.02583425152619064, 0.0015804064637144962]","[-1.2873863568014232, -0.02405484882079048, 0.013547924713651176]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.1437654205352339, -0.02583425152619064, 0.0015804064637144962]","[-1.2873863568014232, -0.02405484882079048, 0.013547924713651176]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.1437654205352339, -0.025858789494370787, 0.0015804064637144962]","[-1.3024184646155124, -0.024537968180148723, 0.013630070437609023]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.1437654205352339, -0.025858789494370787, 0.0015940365341521052]","[-1.3024184646155124, -0.024537968180148723, 0.013630070437609023]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.14246300207061838, -0.025858789494370787, 0.0015940365341521052]","[-1.3024184646155124, -0.024537968180148723, 0.013630070437609023]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.14246300207061838, -0.025883834639687957, 0.0015940365341521052]","[-1.3163936716791835, -0.025045145317169337, 0.013709584719641182]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.14246300207061838, -0.025883834639687957, 0.0016077461188717464]","[-1.3163936716791835, -0.025045145317169337, 0.013709584719641182]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.1411466083989392, -0.025883834639687957, 0.0016077461188717464]","[-1.3163936716791835, -0.025045145317169337, 0.013709584719641182]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.1411466083989392, -0.02590941412076668, 0.0016077461188717464]","[-1.3292584475740332, -0.025579481078723265, 0.013786956788067834]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.1411466083989392, -0.02590941412076668, 0.0016215330756598142]","[-1.3292584475740332, -0.025579481078723265, 0.013786956788067834]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.13981734995136516, -0.02590941412076668, 0.0016215330756598142]","[-1.3292584475740332, -0.025579481078723265, 0.013786956788067834]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.13981734995136516, -0.025935555353395385, 0.0016215330756598142]","[-1.340980748202797, -0.026141232628704852, 0.013862376469298996]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.13981734995136516, -0.025935555353395385, 0.0016353954521291132]","[-1.340980748202797, -0.026141232628704852, 0.013862376469298996]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.13847636920316236, -0.025935555353395385, 0.0016353954521291132]","[-1.340980748202797, -0.026141232628704852, 0.013862376469298996]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.13847636920316236, -0.02596228646828151, 0.0016353954521291132]","[-1.3515643016507317, -0.026731114886123508, 0.013936339054704434]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.13847636920316236, -0.02596228646828151, 0.0016493317911838177]","[-1.3515643016507317, -0.026731114886123508, 0.013936339054704434]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.13712480490151163, -0.02596228646828151, 0.0016493317911838177]","[-1.3515643016507317, -0.026731114886123508, 0.013936339054704434]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.13712480490151163, -0.02740820028130353, 0.0016493317911838177]","[-1.1074603203127114, -0.06540689302788477, 0.01706613730484939]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.13712480490151163, -0.02740820028130353, 0.0021577477789835706]","[-1.1074603203127114, -0.06540689302788477, 0.01706613730484939]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.09419019440965173, -0.02740820028130353, 0.0021577477789835706]","[-1.1074603203127114, -0.06540689302788477, 0.01706613730484939]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.09419019440965173, -0.027475046837705793, 0.0021577477789835706]","[-1.091158307865464, -0.06684655640226342, 0.017194576931439578]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.09419019440965173, -0.027475046837705793, 0.00217494235591501]","[-1.091158307865464, -0.06684655640226342, 0.017194576931439578]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.09309903610178627, -0.027475046837705793, 0.00217494235591501]","[-1.091158307865464, -0.06684655640226342, 0.017194576931439578]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.09309903610178627, -0.027543306542359293, 0.00217494235591501]","[-1.075398578615036, -0.06825970465349981, 0.017327271394791764]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.09309903610178627, -0.027543306542359293, 0.002192269627309802]","[-1.075398578615036, -0.06825970465349981, 0.017327271394791764]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.09202363752317123, -0.027543306542359293, 0.002192269627309802]","[-1.075398578615036, -0.06825970465349981, 0.017327271394791764]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.09202363752317123, -0.02761295791313642, 0.002192269627309802]","[-1.05919884817951, -0.06965137077712819, 0.017456307670673122]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.09202363752317123, -0.02761295791313642, 0.002209725934980475]","[-1.05919884817951, -0.06965137077712819, 0.017456307670673122]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.09096443867499172, -0.02761295791313642, 0.002209725934980475]","[-1.05919884817951, -0.06965137077712819, 0.017456307670673122]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.09096443867499172, -0.027683976637676296, 0.002209725934980475]","[-1.0428156873727445, -0.0710187245398751, 0.01758343532199313]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.09096443867499172, -0.027683976637676296, 0.002227309370302468]","[-1.0428156873727445, -0.0710187245398751, 0.01758343532199313]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
