fps,bitrate
1,105168
2,157920
3,285616
4,501880
5,643120
6,677952
7,745816
8,957112
9,1176248
10,1419464
11,1630232
12,1764808
13,1920280
14,2095328
15,2262320
16,2456448
17,2574840
18,2665800
19,2737224
20,2849208
21,2913504
22,2991560
23,3168480
24,3237144
25,3361472
26,3600392
27,4037312
28,4461160
29,4839040
30,5161424
30,5311704
30,5419568
30,5439704
30,5387272
30,5414736
30,5543976
30,5637200
30,5597248
30,5534112
30,5452704
30,5418320
29,5289680
30,5453744
29,5277720
29,5254432
29,5311320
29,5376288
29,5473096
29,5538720
29,5639568
28,5551856
28,5641552
28,5691560
28,5662944
28,5384232
28,5118400
28,4900008
27,4492264
28,4662640
27,4532624
27,4559256
27,4601008
26,4475568
25,4335400
25,4366176
24,4214696
24,4234464
23,4090112
23,4114184
23,4157976
23,4179312
24,4355128
24,4365080
24,4368424
25,4542304
24,4387136
25,4547912
25,4541024
25,4495008
25,4496944
25,4509568
25,4509864
26,4687312
26,4697080
26,4681736
27,4840872
27,4841808
27,4815856
27,4786216
27,4752704
28,4906792
29,5068984
29,5036320
29,5012272
29,4984464
30,5143192
30,5127408
30,5107920
30,5061032
30,5024248
30,5008536
30,4995432
30,4971832
31,5132920
31,5144696
31,5146096
30,4972456
31,5136440
31,5143488
31,5140128
30,4975568
31,5133632
31,5143408
31,5131680
31,5114160
30,4983400
30,4975912
30,4969680
31,5148968
30,4969656
31,5118536
30,4958048
31,5112032
30,4962136
31,5129864
30,4959848
31,5119864
30,4945472
30,4948440
31,5114848
30,4951808
30,4953168
30,4956432
31,5118848
30,4956776
30,4951832
30,4955952
30,4958944
31,5129904
31,5110936
30,4955760
30,4968592
31,5139960
30,4973792
30,4962376
31,5130248
30,4958176
31,5129808
30,4962296
30,4940272
30,4953144
31,5120472
30,4970248
31,5134952
30,4958688
30,4972688
30,4982312
31,5141296
30,4974720
30,4980056
31,5155800
31,5134464
31,5128288
30,4955376
30,4942000
31,5115856
30,4943808
31,5109000
30,4936600
30,4941904
